S.No,Player,TYPE,Base_Price,COST,2021_Squad,Team
1,Rashid Khan,BOWLER,Draft Pick,15,SRH,Gujarat Titans
2,Hardik Pandya,ALL-ROUNDER,Draft Pick,15,MI,Gujarat Titans
3,Lockie Ferguson,BOWLER,2 Cr,10,KKR,Gujarat Titans
4,Rahul Tewatia,ALL-ROUNDER,40 Lakh,9,RR,Gujarat Titans
5,Shubman Gill,BATTER,Draft Pick,8,KKR,Gujarat Titans
6,Mohammad Shami,BOWLER,2 Cr,6.25,PBKS,Gujarat Titans
7,Yash Dayal,BOWLER,20 Lakh,3.2,,Gujarat Titans
8,David Miller,BATTER,1 Cr,3,RR,Gujarat Titans
9,R. Sai Kishore,BOWLER,20 Lakh,3,CSK,Gujarat Titans
10,Abhinav Sadarangani,BATTER,20 Lakh,2.6,,Gujarat Titans
11,Matthew Wade,WICKETKEEPER,2 Cr,2.4,,Gujarat Titans
12,Alzarri Joseph,BOWLER,75 Lakh,2.4,,Gujarat Titans
13,Jason Roy,BATTER,2 Cr,2,SRH,Gujarat Titans
14,Wriddhiman Saha,WICKETKEEPER,1 Cr,1.9,SRH,Gujarat Titans
15,Jayant Yadav,ALL-ROUNDER,1 Cr,1.7,MI,Gujarat Titans
16,Vijay Shankar,ALL-ROUNDER,50 Lakh,1.4,SRH,Gujarat Titans
17,Dominic Drakes,ALL-ROUNDER,75 Lakh,1.1,CSK,Gujarat Titans
18,Varun Aaron,BOWLER,50 Lakh,0.5,,Gujarat Titans
19,Gurkeerat Singh,ALL-ROUNDER,50 Lakh,0.5,KKR,Gujarat Titans
20,Noor Ahmad,BOWLER,30 Lakh,0.3,,Gujarat Titans
21,Darshan Nalkande,ALL-ROUNDER,20 Lakh,0.2,PBKS,Gujarat Titans
22,Pradeep Sangwan,ALL-ROUNDER,20 Lakh,0.2,,Gujarat Titans
23,Ravindra Jadeja,ALL-ROUNDER,Retained,16,CSK,Chennai Super Kings
24,Deepak Chahar,BOWLER,2 Cr,14,CSK,Chennai Super Kings
25,MS Dhoni,WICKETKEEPER,Retained,12,CSK,Chennai Super Kings
26,Moeen Ali,ALL-ROUNDER,Retained,8,CSK,Chennai Super Kings
27,Ambati Rayudu,WICKETKEEPER,2 Cr,6.75,CSK,Chennai Super Kings
28,Ruturaj Gaikwad,BATTER,Retained,6,CSK,Chennai Super Kings
29,Dwayne Bravo,ALL-ROUNDER,2 Cr,4.4,CSK,Chennai Super Kings
30,Shivam Dube,ALL-ROUNDER,50 Lakh,4,RR,Chennai Super Kings
31,Chris Jordan,ALL-ROUNDER,2 Cr,3.6,PBKS,Chennai Super Kings
32,Robin Uthappa,BATTER,2 Cr,2,CSK,Chennai Super Kings
33,Mitchell Santner,ALL-ROUNDER,1 Cr,1.9,CSK,Chennai Super Kings
34,Adam Milne,BOWLER,1.5 Cr,1.9,MI,Chennai Super Kings
35,Rajvardhan Hangargekar,ALL-ROUNDER,30 Lakh,1.5,,Chennai Super Kings
36,Prashant Solanki,BOWLER,20 Lakh,1.2,,Chennai Super Kings
37,Devon Conway,BATTER,1 Cr,1,,Chennai Super Kings
38,Maheesh Theekshana,BOWLER,50 Lakh,0.7,,Chennai Super Kings
39,Dwaine Pretorius,ALL-ROUNDER,50 Lakh,0.5,,Chennai Super Kings
40,K.Bhagath Varma,ALL-ROUNDER,20 Lakh,0.2,CSK,Chennai Super Kings
41,Simarjeet Singh,BOWLER,20 Lakh,0.2,MI,Chennai Super Kings
42,N. Jagadeesan,WICKETKEEPER,20 Lakh,0.2,CSK,Chennai Super Kings
43,C.Hari Nishaanth,BATTER,20 Lakh,0.2,CSK,Chennai Super Kings
44,K.M. Asif,BOWLER,20 Lakh,0.2,CSK,Chennai Super Kings
45,Tushar Deshpande,BOWLER,20 Lakh,0.2,,Chennai Super Kings
46,Subhranshu Senapati,BATTER,20 Lakh,0.2,,Chennai Super Kings
47,Mukesh Choudhary,BOWLER,20 Lakh,0.2,,Chennai Super Kings
48,Rishabh Pant,WICKETKEEPER,Retained,16,DC,Delhi Capitals
49,Shardul Thakur,BOWLER,2 Cr,10.75,CSK,Delhi Capitals
50,Axar Patel,ALL-ROUNDER,Retained,9,DC,Delhi Capitals
51,Prithvi Shaw,BATTER,Retained,7.5,DC,Delhi Capitals
52,Mitchell Marsh,ALL-ROUNDER,2 Cr,6.5,,Delhi Capitals
53,Anrich Nortje,BOWLER,Retained,6.5,DC,Delhi Capitals
54,David Warner,BATTER,2 Cr,6.25,SRH,Delhi Capitals
55,Syed Khaleel Ahmed,BOWLER,50 Lakh,5.25,SRH,Delhi Capitals
56,Chetan Sakariya,BOWLER,50 Lakh,4.2,RR,Delhi Capitals
57,Rovman Powell,BATTER,75 Lakh,2.8,,Delhi Capitals
58,K.S. Bharat,WICKETKEEPER,20 Lakh,2,RCB,Delhi Capitals
59,Mustafizur Rahman,BOWLER,2 Cr,2,RR,Delhi Capitals
60,Kuldeep Yadav,BOWLER,1 Cr,2,KKR,Delhi Capitals
61,Kamlesh Nagarkoti,ALL-ROUNDER,40 Lakh,1.1,KKR,Delhi Capitals
62,Mandeep Singh,BATTER,50 Lakh,1.1,PBKS,Delhi Capitals
63,Lalit Yadav,ALL-ROUNDER,20 Lakh,0.65,DC,Delhi Capitals
64,Tim Seifert,WICKETKEEPER,50 Lakh,0.5,KKR,Delhi Capitals
65,Pravin Dubey,ALL-ROUNDER,20 Lakh,0.5,DC,Delhi Capitals
66,Lungisani Ngidi,BOWLER,50 Lakh,0.5,CSK,Delhi Capitals
67,Yash Dhull,ALL-ROUNDER,20 Lakh,0.5,,Delhi Capitals
68,Ashwin Hebbar,BATTER,20 Lakh,0.2,,Delhi Capitals
69,Sarfaraz Khan,ALL-ROUNDER,20 Lakh,0.2,PBKS,Delhi Capitals
70,Ripal Patel,ALL-ROUNDER,20 Lakh,0.2,DC,Delhi Capitals
71,Vicky Ostwal,ALL-ROUNDER,20 Lakh,0.2,,Delhi Capitals
72,Shreyas Iyer,BATTER,2 Cr,12.25,DC,Kolkata Knight Riders
73,Andre Russell,ALL-ROUNDER,Retained,12,KKR,Kolkata Knight Riders
74,Nitish Rana,ALL-ROUNDER,1 Cr,8,KKR,Kolkata Knight Riders
75,Venkatesh Iyer,ALL-ROUNDER,Retained,8,KKR,Kolkata Knight Riders
76,Varun Chakaravarthy,BOWLER,Retained,8,KKR,Kolkata Knight Riders
77,Pat Cummins,ALL-ROUNDER,2 Cr,7.25,KKR,Kolkata Knight Riders
78,Shivam Mavi,ALL-ROUNDER,40 Lakh,7.25,KKR,Kolkata Knight Riders
79,Sunil Narine,ALL-ROUNDER,Retained,6,KKR,Kolkata Knight Riders
80,Sam Billings,WICKETKEEPER,2 Cr,2,DC,Kolkata Knight Riders
81,Umesh Yadav,BOWLER,2 Cr,2,DC,Kolkata Knight Riders
82,Tim Southee,BOWLER,1.5 Cr,1.5,KKR,Kolkata Knight Riders
83,Alex Hales,BATTER,1.5 Cr,1.5,,Kolkata Knight Riders
84,Ajinkya Rahane,BATTER,1 Cr,1,DC,Kolkata Knight Riders
85,Mohammad Nabi,ALL-ROUNDER,1 Cr,1,SRH,Kolkata Knight Riders
86,Sheldon Jackson,WICKETKEEPER,30 Lakh,0.6,KKR,Kolkata Knight Riders
87,Rinku Singh,BATTER,20 Lakh,0.55,,Kolkata Knight Riders
88,Ashok Sharma,BOWLER,20 Lakh,0.55,,Kolkata Knight Riders
89,Chamika Karunaratne,ALL-ROUNDER,50 Lakh,0.5,,Kolkata Knight Riders
90,Abhijeet Tomar,BATTER,20 Lakh,0.4,,Kolkata Knight Riders
91,Rasikh Dar,BOWLER,20 Lakh,0.2,,Kolkata Knight Riders
92,Anukul Roy,ALL-ROUNDER,20 Lakh,0.2,MI,Kolkata Knight Riders
93,Baba Indrajith,WICKETKEEPER,20 Lakh,0.2,,Kolkata Knight Riders
94,Aman Khan,ALL-ROUNDER,20 Lakh,0.2,,Kolkata Knight Riders
95,Ramesh Kumar,BATTER,20 Lakh,0.2,,Kolkata Knight Riders
96,Pratham Singh,BATTER,20 Lakh,0.2,,Kolkata Knight Riders
97,Mayank Agarwal,BATTER,Retained,12,PBKS,Punjab Kings
98,Liam Livingstone,ALL-ROUNDER,1 Cr,11.5,RR,Punjab Kings
99,Kagiso Rabada,BOWLER,2 Cr,9.25,DC,Punjab Kings
100,Shahrukh Khan,ALL-ROUNDER,40 Lakh,9,PBKS,Punjab Kings
101,Shikhar Dhawan,BATTER,2 Cr,8.25,DC,Punjab Kings
102,Jonny Bairstow,WICKETKEEPER,1.5 Cr,6.75,SRH,Punjab Kings
103,Odean Smith,ALL-ROUNDER,1 Cr,6,,Punjab Kings
104,Rahul Chahar,BOWLER,75 Lakh,5.25,MI,Punjab Kings
105,Arshdeep Singh,BOWLER,Retained,4,PBKS,Punjab Kings
106,Harpreet Brar,ALL-ROUNDER,20 Lakh,3.8,PBKS,Punjab Kings
107,Vaibhav Arora,BOWLER,20 Lakh,2,KKR,Punjab Kings
108,Raj Angad Bawa,ALL-ROUNDER,20 Lakh,2,,Punjab Kings
109,Nathan Ellis,BOWLER,75 Lakh,0.75,PBKS,Punjab Kings
110,Prabhsimran Singh,WICKETKEEPER,20 Lakh,0.6,PBKS,Punjab Kings
111,Rishi Dhawan,ALL-ROUNDER,50 Lakh,0.55,,Punjab Kings
112,Sandeep Sharma,BOWLER,50 Lakh,0.5,SRH,Punjab Kings
113,Bhanuka Rajapaksa,BATTER,50 Lakh,0.5,,Punjab Kings
114,Benny Howell,ALL-ROUNDER,40 Lakh,0.4,,Punjab Kings
115,Ishan Porel,BOWLER,20 Lakh,0.25,PBKS,Punjab Kings
116,Prerak Mankad,ALL-ROUNDER,20 Lakh,0.2,,Punjab Kings
117,Ansh Patel,ALL-ROUNDER,20 Lakh,0.2,,Punjab Kings
118,Jitesh Sharma,WICKETKEEPER,20 Lakh,0.2,,Punjab Kings
119,Writtick Chatterjee,ALL-ROUNDER,20 Lakh,0.2,,Punjab Kings
120,Atharva Taide,ALL-ROUNDER,20 Lakh,0.2,,Punjab Kings
121,Baltej Dhanda,BOWLER,20 Lakh,0.2,,Punjab Kings
122,KL Rahul,WICKETKEEPER,Draft Pick,17,PBKS,Lucknow Super Giants
123,Avesh Khan,BOWLER,20 Lakh,10,DC,Lucknow Super Giants
124,Marcus Stoinis,ALL-ROUNDER,Draft Pick,9.2,DC,Lucknow Super Giants
125,Jason Holder,ALL-ROUNDER,1.5 Cr,8.75,SRH,Lucknow Super Giants
126,Krunal Pandya,ALL-ROUNDER,2 Cr,8.25,MI,Lucknow Super Giants
127,Mark Wood,BOWLER,2 Cr,7.5,,Lucknow Super Giants
128,Quinton De Kock,WICKETKEEPER,2 Cr,6.75,MI,Lucknow Super Giants
129,Deepak Hooda,ALL-ROUNDER,75 Lakh,5.75,PBKS,Lucknow Super Giants
130,Manish Pandey,BATTER,1 Cr,4.6,SRH,Lucknow Super Giants
131,Ravi Bishnoi,BOWLER,Draft Pick,4,PBKS,Lucknow Super Giants
132,Dushmanta Chameera,BOWLER,50 Lakh,2,,Lucknow Super Giants
133,Evin Lewis,BATTER,2 Cr,2,RR,Lucknow Super Giants
134,K. Gowtham,ALL-ROUNDER,50 Lakh,0.9,CSK,Lucknow Super Giants
135,Kyle Mayers,ALL-ROUNDER,50 Lakh,0.5,,Lucknow Super Giants
136,Shahbaz Nadeem,BOWLER,50 Lakh,0.5,SRH,Lucknow Super Giants
137,Ankit Singh Rajpoot,BOWLER,20 Lakh,0.5,,Lucknow Super Giants
138,Manan Vohra,BATTER,20 Lakh,0.2,RR,Lucknow Super Giants
139,B. Sai Sudharsan,ALL-ROUNDER,20 Lakh,0.2,,Lucknow Super Giants
140,Karan Sharma,ALL-ROUNDER,20 Lakh,0.2,,Lucknow Super Giants
141,Ayush Badoni,ALL-ROUNDER,20 Lakh,0.2,,Lucknow Super Giants
142,Mohsin Khan,BOWLER,20 Lakh,0.2,MI,Lucknow Super Giants
143,Mayank Yadav,BOWLER,20 Lakh,0.2,,Lucknow Super Giants
144,Rohit Sharma,BATTER,Retained,16,MI,Mumbai Indians
145,Ishan Kishan,WICKETKEEPER,2 Cr,15.25,MI,Mumbai Indians
146,Jasprit Bumrah,BOWLER,Retained,12,MI,Mumbai Indians
147,Tim David,ALL-ROUNDER,40 Lakh,8.25,RCB,Mumbai Indians
148,Jofra Archer,ALL-ROUNDER,2 Cr,8,RR,Mumbai Indians
149,Suryakumar Yadav,BATTER,Retained,8,MI,Mumbai Indians
150,Kieron Pollard,ALL-ROUNDER,Retained,6,MI,Mumbai Indians
151,Dewald Brevis,BATTER,20 Lakh,3,,Mumbai Indians
152,Daniel Sams,ALL-ROUNDER,1 Cr,2.6,RCB,Mumbai Indians
153,N. Tilak Varma,ALL-ROUNDER,20 Lakh,1.7,,Mumbai Indians
154,Murugan Ashwin,BOWLER,20 Lakh,1.6,PBKS,Mumbai Indians
155,Tymal Mills,BOWLER,1 Cr,1.5,,Mumbai Indians
156,Jaydev Unadkat,BOWLER,75 Lakh,1.3,RR,Mumbai Indians
157,Riley Meredith,BOWLER,1 Cr,1,PBKS,Mumbai Indians
158,Fabian Allen,ALL-ROUNDER,75 Lakh,0.75,,Mumbai Indians
159,Mayank Markande,BOWLER,50 Lakh,0.65,RR,Mumbai Indians
160,Sanjay Yadav,ALL-ROUNDER,20 Lakh,0.5,,Mumbai Indians
161,Arjun Tendulkar,ALL-ROUNDER,20 Lakh,0.3,MI,Mumbai Indians
162,Basil Thampi,BOWLER,30 Lakh,0.3,SRH,Mumbai Indians
163,Anmolpreet Singh,BATTER,20 Lakh,0.2,MI,Mumbai Indians
164,Aryan Juyal,WICKETKEEPER,20 Lakh,0.2,,Mumbai Indians
165,Ramandeep Singh,ALL-ROUNDER,20 Lakh,0.2,,Mumbai Indians
166,Rahul Buddhi,BATTER,20 Lakh,0.2,,Mumbai Indians
167,Hrithik Shokeen,ALL-ROUNDER,20 Lakh,0.2,,Mumbai Indians
168,Mohd. Arshad Khan,ALL-ROUNDER,20 Lakh,0.2,,Mumbai Indians
169,Virat Kohli,BATTER,Retained,15,RCB,Royal Challengers Bangalore
170,Glenn Maxwell,ALL-ROUNDER,Retained,11,RCB,Royal Challengers Bangalore
171,Wanindu Hasaranga,ALL-ROUNDER,1 Cr,10.75,RCB,Royal Challengers Bangalore
172,Harshal Patel,ALL-ROUNDER,2 Cr,10.75,RCB,Royal Challengers Bangalore
173,Josh Hazlewood,BOWLER,2 Cr,7.75,CSK,Royal Challengers Bangalore
174,Faf Du Plessis,BATTER,2 Cr,7,CSK,Royal Challengers Bangalore
175,Mohammed Siraj,BOWLER,Retained,7,RCB,Royal Challengers Bangalore
176,Dinesh Karthik,WICKETKEEPER,2 Cr,5.5,KKR,Royal Challengers Bangalore
177,Anuj Rawat,WICKETKEEPER,20 Lakh,3.4,RR,Royal Challengers Bangalore
178,Shahbaz Ahamad,ALL-ROUNDER,30 Lakh,2.4,RCB,Royal Challengers Bangalore
179,David Willey,ALL-ROUNDER,2 Cr,2,,Royal Challengers Bangalore
180,Sherfane Rutherford,ALL-ROUNDER,1 Cr,1,,Royal Challengers Bangalore
181,Mahipal Lomror,ALL-ROUNDER,40 Lakh,0.95,RR,Royal Challengers Bangalore
182,Finn Allen,BATTER,50 Lakh,0.8,RCB,Royal Challengers Bangalore
183,Siddharth Kaul,BOWLER,75 Lakh,0.75,SRH,Royal Challengers Bangalore
184,Jason Behrendorff,BOWLER,75 Lakh,0.75,CSK,Royal Challengers Bangalore
185,Karn Sharma,BOWLER,50 Lakh,0.5,CSK,Royal Challengers Bangalore
186,Suyash Prabhudessai,ALL-ROUNDER,20 Lakh,0.3,RCB,Royal Challengers Bangalore
187,Chama Milind,BOWLER,20 Lakh,0.25,,Royal Challengers Bangalore
188,Akash Deep,BOWLER,20 Lakh,0.2,RCB,Royal Challengers Bangalore
189,Aneeshwar Gautam,ALL-ROUNDER,20 Lakh,0.2,,Royal Challengers Bangalore
190,Luvnith Sisodia,WICKETKEEPER,20 Lakh,0.2,,Royal Challengers Bangalore
191,Sanju Samson,WICKETKEEPER,Retained,14,RR,Rajasthan Royals
192,Jos Buttler,WICKETKEEPER,Retained,10,RR,Rajasthan Royals
193,Prasidh Krishna,BOWLER,1 Cr,10,KKR,Rajasthan Royals
194,Shimron Hetmyer,BATTER,1.5 Cr,8.5,DC,Rajasthan Royals
195,Trent Boult,BOWLER,2 Cr,8,MI,Rajasthan Royals
196,Devdutt Padikkal,BATTER,2 Cr,7.75,RCB,Rajasthan Royals
197,Yuzvendra Chahal,BOWLER,2 Cr,6.5,RCB,Rajasthan Royals
198,R. Ashwin,ALL-ROUNDER,2 Cr,5,DC,Rajasthan Royals
199,Yashaswi Jaiswal,BATTER,Retained,4,RR,Rajasthan Royals
200,Riyan Parag,ALL-ROUNDER,30 Lakh,3.8,RR,Rajasthan Royals
201,Navdeep Saini,BOWLER,75 Lakh,2.6,RCB,Rajasthan Royals
202,Nathan Coulter-Nile,BOWLER,2 Cr,2,MI,Rajasthan Royals
203,James Neesham,ALL-ROUNDER,1.5 Cr,1.5,MI,Rajasthan Royals
204,Karun Nair,BATTER,50 Lakh,1.4,KKR,Rajasthan Royals
205,Rassie Van Der Dussen,BATTER,1 Cr,1,,Rajasthan Royals
206,Obed Mccoy,BOWLER,75 Lakh,0.75,,Rajasthan Royals
207,Daryl Mitchell,ALL-ROUNDER,75 Lakh,0.75,,Rajasthan Royals
208,K.C Cariappa,BOWLER,20 Lakh,0.3,RR,Rajasthan Royals
209,Anunay Singh,ALL-ROUNDER,20 Lakh,0.2,,Rajasthan Royals
210,Kuldeep Sen,BOWLER,20 Lakh,0.2,,Rajasthan Royals
211,Dhruv Jurel,WICKETKEEPER,20 Lakh,0.2,,Rajasthan Royals
212,Tejas Baroka,BOWLER,20 Lakh,0.2,,Rajasthan Royals
213,Kuldip Yadav,BOWLER,20 Lakh,0.2,RR,Rajasthan Royals
214,Shubham Garhwal,ALL-ROUNDER,20 Lakh,0.2,,Rajasthan Royals
215,Kane Williamson,BATTER,Retained,14,SRH,Sunrisers Hyderabad
216,Nicholas Pooran,WICKETKEEPER,1.5 Cr,10.75,PBKS,Sunrisers Hyderabad
217,Washington Sundar,ALL-ROUNDER,1.5 Cr,8.75,RCB,Sunrisers Hyderabad
218,Rahul Tripathi,BATTER,40 Lakh,8.5,KKR,Sunrisers Hyderabad
219,Romario Shepherd,ALL-ROUNDER,75 Lakh,7.75,,Sunrisers Hyderabad
220,Abhishek Sharma,ALL-ROUNDER,20 Lakh,6.5,SRH,Sunrisers Hyderabad
221,Marco Jansen,ALL-ROUNDER,50 Lakh,4.2,MI,Sunrisers Hyderabad
222,Bhuvneshwar Kumar,BOWLER,2 Cr,4.2,SRH,Sunrisers Hyderabad
223,T. Natarajan,BOWLER,1 Cr,4,SRH,Sunrisers Hyderabad
224,Abdul Samad,ALL-ROUNDER,Retained,4,SRH,Sunrisers Hyderabad
225,Umran Malik,BOWLER,Retained,4,SRH,Sunrisers Hyderabad
226,Kartik Tyagi,BOWLER,20 Lakh,4,RR,Sunrisers Hyderabad
227,Aiden Markram,BATTER,1 Cr,2.6,PBKS,Sunrisers Hyderabad
228,Sean Abbott,BOWLER,75 Lakh,2.4,,Sunrisers Hyderabad
229,Glenn Phillips,WICKETKEEPER,1.5 Cr,1.5,RR,Sunrisers Hyderabad
230,Shreyas Gopal,BOWLER,20 Lakh,0.75,RR,Sunrisers Hyderabad
231,Vishnu Vinod,WICKETKEEPER,20 Lakh,0.5,DC,Sunrisers Hyderabad
232,Fazalhaq Farooqi,BOWLER,50 Lakh,0.5,,Sunrisers Hyderabad
233,Priyam Garg,BATTER,20 Lakh,0.2,SRH,Sunrisers Hyderabad
234,R Samarth,BATTER,20 Lakh,0.2,,Sunrisers Hyderabad
235,Jagadeesha Suchith,BOWLER,20 Lakh,0.2,SRH,Sunrisers Hyderabad
236,Shashank Singh,ALL-ROUNDER,20 Lakh,0.2,,Sunrisers Hyderabad
237,Saurabh Dubey,BOWLER,20 Lakh,0.2,,Sunrisers Hyderabad
238,Suresh Raina,BATTER,2 Cr,0,CSK,Unsold
239,Steve Smith,BATTER,2 Cr,0,DC,Unsold
240,Shakib Al Hasan,ALL-ROUNDER,2 Cr,0,KKR,Unsold
241,Amit Mishra,BOWLER,1.5 Cr,0,DC,Unsold
242,Adil Rashid,BOWLER,2 Cr,0,PBKS,Unsold
243,Imran Tahir,BOWLER,2 Cr,0,CSK,Unsold
244,Mujeeb Zadran,BOWLER,2 Cr,0,SRH,Unsold
245,Adam Zampa,BOWLER,2 Cr,0,RCB,Unsold
246,Rajat Patidar,BATTER,20 Lakh,0,RCB,Unsold
247,Mohammed Azharuddeen,WICKETKEEPER,20 Lakh,0,RCB,Unsold
248,Vishnu Solanki,WICKETKEEPER,20 Lakh,0,,Unsold
249,Sandeep Lamichhane,BOWLER,40 Lakh,0,,Unsold
250,M. Siddharth,BOWLER,20 Lakh,0,DC,Unsold
251,Aaron Finch,BATTER,1.5 Cr,0,,Unsold
252,Marnus Labuschagne,BATTER,1 Cr,0,,Unsold
253,Dawid Malan,BATTER,1.5 Cr,0,PBKS,Unsold
254,Eoin Morgan,BATTER,1.5 Cr,0,KKR,Unsold
255,Cheteshwar Pujara,BATTER,50 Lakh,0,CSK,Unsold
256,Saurabh Tiwary,BATTER,50 Lakh,0,MI,Unsold
257,Sheldon Cottrell,BOWLER,75 Lakh,0,,Unsold
258,Ishant Sharma,BOWLER,1.5 Cr,0,DC,Unsold
259,Qais Ahmad,BOWLER,50 Lakh,0,,Unsold
260,Piyush Chawla,BOWLER,1 Cr,0,MI,Unsold
261,Tabraiz Shamsi,BOWLER,1 Cr,0,RR,Unsold
262,Ish Sodhi,BOWLER,50 Lakh,0,,Unsold
263,Sachin Baby,BATTER,20 Lakh,0,RCB,Unsold
264,Ricky Bhui,BATTER,20 Lakh,0,,Unsold
265,Himanshu Rana,BATTER,20 Lakh,0,,Unsold
266,Harnoor Singh,BATTER,20 Lakh,0,,Unsold
267,Himmat Singh,BATTER,20 Lakh,0,,Unsold
268,Virat Singh,BATTER,20 Lakh,0,SRH,Unsold
269,Arzan Nagwaswalla,BOWLER,20 Lakh,0,,Unsold
270,Akash Singh,BOWLER,20 Lakh,0,RR,Unsold
271,Yash Thakur,BOWLER,20 Lakh,0,,Unsold
272,Vasu Vats,BOWLER,20 Lakh,0,,Unsold
273,Mujtaba Yousuf,BOWLER,20 Lakh,0,,Unsold
274,Chris Lynn,BATTER,1.5 Cr,0,MI,Unsold
275,Najibullah Zadran,BATTER,50 Lakh,0,,Unsold
276,Charith Asalanka,ALL-ROUNDER,50 Lakh,0,,Unsold
277,George Garton,ALL-ROUNDER,50 Lakh,0,RCB,Unsold
278,Litton Das,WICKETKEEPER,50 Lakh,0,,Unsold
279,Niroshan Dickwella,WICKETKEEPER,50 Lakh,0,,Unsold
280,Andre Fletcher,WICKETKEEPER,50 Lakh,0,,Unsold
281,Rahmanullah Gurbaz,WICKETKEEPER,50 Lakh,0,,Unsold
282,Shai Hope,WICKETKEEPER,50 Lakh,0,,Unsold
